branch,city,kifle_ketema,direction,building,flat,phone,name
,Kombolcha City,Kombolecha,Metitolo Kebele: 02,Around Bajaje Mazoriya,,+251-33-5510014,Serdem School
,Kombolcha City,Kombolecha,Awus Code Kebele: 02,Around Seleshi Building,,+251-33-5513142,Shasheber School
,Kombolcha City,Kombolecha,Shisha Ber Kebele: 02,In front of Noke Gas Station,,+251- 33-5512869   +251-91-1205102,Sunny Side Hotel
,Kombolcha City,Kombolecha,Autobis Tera Kebele: 02,Around Fiker Marketing Center,,+251-91-1793222,Mohammed Ali Mohammed
,Kombolcha City,Kombolecha,Total Kebele: 02,Infront of Sun Cafe,,+251-33-5510080,Komblocha Revenue Office
,Addis Ababa City,Kirkos,Ambassador Kebele: 15/16,Around Ambassador Theater,,251-11-5511805   251-11-5513797   251-91-1882383/81 P.O.Box 126,Kombolcha Textile S.C
,Addis Ababa City,Kirkos,Ambassador Kebele: 15/16,In front of Ambassader Theater,,251-11-5514075 Fax: 251-11-5518098,Kombolcha Leather Factory P.L.C
,Hawasa City,Hawassa,Tabor Kebele: -,Around Tabor School,,+251-91-6823432,Leule Office and House Furniture
,Hawasa City,Tabor,Tilte Kebele: 01,Infront of Hill Side Hotel,,+251-91-1389670,Impact Development Association
,Gondar City,Gondar,Kebele: -,Around Hawassa Technical and Vocational Training College,,+251-91-1745416,Envisage for Better Life
,Hawasa City,Tabor,Kebele 07 Kebele: 01,Around Mountain snack,,+251-46-2209208/09,S/N/N/P/R/S Health Bureau
,Hawasa City,Hawassa,Alamura Kifelketema Kebele: 07,Around Nigat Sisay Hotel,,251-46-2204994,Tabor Clinic
,Addis Ababa City,Arada,Atkelt Tera Kebele: 01/02,Inside Old Post Office,,+251-11-1551577   +251-11-1576862/63 Fax: +251-11-1552577 P.O.Box 3013,Tabor Ceramics Products Facotry
,Addis Ababa City,Nefassilk Lafto,Lafto Kebele: 01,In Side Industry Mender,,+251-91-1384622,Habesha Hayelom Tabor Wood and Steel Production
,Adigrat City,Adigrat,Piassa Kebele: 01,Around Adigrat Secondary School,,+251-34-4452180,Adigerat University
,Adigrat City,Adigrat,Mazoria Kebele: 01,Around Fawneten,,+251-34-4451120,Eve Hotel
,Adigrat City,Adigrat,Agoro Kebele: 01,Infront Of Agoro School,,+251-34-8450202/03,Agoro Lodge
,Adigrat City,Adigrat,Golgolta Medhaniyalem Kebele: 01,Infront Of Golgolta Medihaniyalem Church,,+251-34-4452821/23   +251-93-5406334,Kenan Hotel
,Sebeta City,Sebeta,Sebeta Kebele: 01,Around Gojebe hotel (Sebeta),,251-11-3380816/17/18   251-91-1206130 Fax: 251-11-2380600 P.O.Box 9339,Blue Nile Tannery p.l.c
,Sebeta City,Sebeta,Sebeta Kebele: 01,Around Saygen Dima Textile,,+251-93-0070746,Toto Garment
,Sebeta City,Sebeta,Mazegaja Kebele: 01,Behind Niged Bank,,+251-11-3333767   +251-11-3384007   +251-11-3383882 Website/Email: bmssebeta@yahoo.com    www.sebetacityadministration.gov.et,Oromia Regional State Finifine Surrounding Special Zone Sebeta City Administration
,Sebeta City,Sebeta,High School Kebele: 01,Near Oftana Hotel,,+251-91-2070931   +251-91-1227353,Sebeta gym Cinema
,Sebeta City,Sebeta,Kebele 01 Kebele: 01,Yuhanes Gemeda Building,,+251-11-3380661,Sebeta Aynesewuran School
,Sebeta City,Sebeta,Nigde Bank Kebele: 01,Near St.Mary church,,+251-11-3380123,Yosam Bar and Restaurant
,Sebeta City,Sebeta,Yedero Menaharia Kebele: 01,Around Mariam Church,,+251-11-3380123,Eyoham
,Sebeta City,Sebeta,Taxi Mazoria Kebele: 01,Infront of Yethiopian Myet yetesanachew School,,+251-91-1780216,Y N Construction Material Import P.L.C
,Sebeta City,Sebeta,Bankoch sefer Kebele: 01,Inside Awash International Bank Sebeta Branch,,+251-91-1948714    +251-96-6984141,Bright Technology & Business School
,Sebeta City,Sebeta,Alem Gena Kebele: 01,Behind 02 Kebele,,+251-11-3381618,Farice School
,Sebeta City,Sebeta,Welete Kebele: 01,Around Dashen Bank Weleti Branch,,+251-11-6530459   +251-91-1670048,Twoderos Drug Store
,Sebeta City,Sebeta,Welete Kebele: 01,Near Tele,,+251-11-3540353,Selame Tesfa School
,Sebeta City,Sebeta,Welete Kebele: 01,Infront Of Zenebe Ferew Real Estate,,+251-11-3540437   +251-92-9047858/59,Mebratu Kinfu Plastic Factory
,Sebeta City,Sebeta,High School Kebele: 01,3k/m Far From Sebeta City Around Abo Church,,251-11-3383110/19   251-11-2782002A/A Fax: 251-11-3383125 P.O.Box 3351,Meta Abo Berwery S.C
,Sebeta City,Sebeta,High School Kebele: 01,Near Berhan Wengil Church,,+251-11-3384129,Berhan Wongil School
,Sebeta City,Sebeta,High School Kebele: 01,Around Menahariya,,+251-91-1480385,Mothers Disabled Devlopmen Organization
,Sebeta City,Sebeta,High School Kebele: 01,Around Saygen Dima Textile,,+251-11-3662034,BMET
,Sebeta City,Sebeta,Dima Kebele: 01,Around Saygne Dima Texstile,,+251-11-3662007,Bmet Energy Telecom Industry
,Sebeta City,Sebeta,Dima Kebele: 01,Around Jimma Road,,+251-91-3215887,Seda Textile
,Sebeta City,Sebeta,Kebele 02 Kebele: 01,Around Arbaminch Textile Factory,,+251-11-3662099   +251-96-5567575,Tramp Business P.L.C
,Sebeta City,Sebeta,Nigde Bank Kebele: 01,In front of Niged Bank,Ground Floor,+251-91-1937965,Oromia Dental Clinic
,Addis Ababa City,Bole,Hayhulet Mazoria Kebele: 01,Around Zeryune Building,,+251-11-6616777   +251-92-2727674   +251-11-3380037,Sebeta Agro-Industry p.l.c
,Burayu City,Burayu,Mariam Sefer Kebele: 01,In front of karton Enterprise,,+251-11-2841976   +251-11-2844189 Fax: +251-11-2843683,Burayu City Adminstration
,Addis Ababa City,Kirkos,Bambis Kebele: 01/19,Infront of NOC Gas station Inside Ziquala Complex Ground Floor,,+251-11-5548152/53/54/55/56/57   +251-91-1211540 Fax: +251-11-5548151 P.O.Box 25469 code 1000 Website/Email: burayudevelopment@yahoo.com,Burayu Packaging & Printing Industry
,Burayu City,Burayu,Sega bet Kebele: 01,Around Sega Bet,,+251-91-1415068,Burayu Abattoirs P.L.C
,Burayu City,Burayu,Mesgid Kebele: 01,Around Mesgid,,251-11-2840857,Burayu Ketta Kindergarten and Primary School
,Burayu City,Burayu,Mariam Sefer Kebele: 01,Around Sarem Food Complex   House No.: 9999,,+251-92-9427677   +251-91-3331266,Fraol Hotel
,Burayu City,Burayu,Mesgid Kebele: 01,Fita Sefer Akababi   House No.: 999999,,+251-93-0014500/10/15,Great Family
,Burayu City,Burayu,Yetebaberut Gas Station Kebele: 01,Around Yetebaberut Gas Station,,251-11-2842268,Al-Kemr P.L.C
,Burayu City,Burayu,Yetebaberut Gas Station Kebele: 01,Inside Yetebabrute Gas Station,,251-11-2764968 Fax: 251-11-2765498,Fincha Transport
,Burayu City,Burayu,Beg tera Kebele: 01,Around Andenet Hotel,,251-11-2840146 Fax: 251-11-6464723,Save our Soul Infant Ethiopia
,Burayu City,Burayu,Afro Flour Factory Kebele: 01,Near Afero Flour Factory,,251-11-2841184,Mohammed Byane
,Burayu City,Burayu,Ashewa meda Kebele: 01,Around Ashewa Meda,,+251-91-1203862,Welin Tola Real Estate
,Burayu City,Burayu,Sega bet Kebele: 01,Around Sega bet 100m,,+251-11-2841920,Sarem Food Complex
,Burayu City,Burayu,Sega bet Kebele: 01,Around Commercial Bank,,+251-11-2844226,Oromia Micro Finance Enterprise
,Burayu City,Burayu,Keta Kebele: 01,Around Alemu Hotel,,+251-11-2842344   +251-91-0959971,Yhaenu P.L.C
,Burayu City,Burayu,Keta Kebele: 01,Around Kebele,,+251-11-2840437,With Doom School
,Burayu City,Burayu,Keta Kebele: 01,Around Alemu Hotel,,+251-91-1774364,Berta Bright Vission for Generation
,Burayu City,Burayu,Keta Kebele: 01,Around Demitu Cafe,,+251-91-1219320,Taddess Aduga General Contractor
,Burayu City,Burayu,Keta Kebele: 01,Around Medhanealem Church,,+251-11-8962757,Matiket General Trade P.L.C
,Burayu City,Burayu,Keta Kebele: 01,Around Asosa Hotel,,+251-91-0480269   +251-93-0896099,BMK Socks Factory
,Burayu City,Burayu,mezegaja Kebele: 01,Around Mezegaja bet,,+251-91-2078557,Action On Poverty
Factory,Burayu City,Burayu,mezegaja Kebele: 01,Around Burayu Mazegaja Bet,,+251-91-1210379   +251-91-1211640   +251-11-2781418   +251-11-2843750   +251-11-2781487 P.O.Box 101579 Website/Email: web:-www.Booez food complex / kebron packaging    booezfoodc@gmail.com,Booez Food Complex
,Burayu City,Burayu,mezegaja Kebele: 01,Around Mezegaja,,+251-91-1184841,Eastro Import & Export P.L.C
,Burayu City,Burayu,kela Kebele: 01,Around Tateqe,,+251-11-8203511   +251-91-1664784   +251-91-1214540 Website/Email: gutemaguta@yahoo.com,Gute Hotel & Recreation Center
,Burayu City,Burayu,kela Kebele: 01,Near Michael Church,,+251-11-2844009/11,Gefersa Mental Health and Rehabilitation Centre
,Burayu City,Burayu,Melka Gefersa Kebele: 01,Around Ashewa Meda,,+251-91-1051383,Gemeda Jida Business Investment P.L.C
,Burayu City,Burayu,Tathak Kebele: 01,Around Fistula Hospital,,+251-11-2601549   +251-91-1206404,Cmf International
,Addis Ababa City,Kirkos,Flamingo Kebele: 01/19,Near Adera Clinic,,251-11-4669971   251-11-4169355   251-11-2841494   251-11-5513223   251-91-1902330 Fax: 251-11-4669970   251-11-4169946 P.O.Box 19900,Burayu Spring Water P.l.c
,Shire Endaslassie City,Shire Endaslassie,hayelom Adebabay Kebele: 01,In front of Hayelom Adebabay,,+251-34-4413427   +251-34-4444264   +251-34-4443834 Fax: +251-34-4443834 Website/Email: www.gebarshirehotel.com,Gebar Shire Hotel
,Shire Endaslassie City,Shire Endaslassie,Kebele 04 Kebele: 01,In Front Of Dashen Bank,,+251-34-4442530,Abinet General Trade Work P.L.C
,Shire Endaslassie City,Shire Endaslassie,Piassa Kebele: 01,Around Hayelom Araya Obelisk,,+251-91-1030171    +251-91-3042800,Charity Association For All Ethiopian Persons With Disabilities (CAFED)
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Around Merkato,,251-91-2108480,Mohammed Bari Shire
,Sululta City,Sululeta,Selassie Church Kebele: -,Around Selassie Church,,+251-11-1860350    +251-11-1860080,Sululta City Administration
,Addis Ababa City,Addis Ketema,Merkato Kebele: 10/11/12,Around Arategna Police Station,,251-11-2751918   251-11-2591144   251-91-1205512 P.O.Box 20981,Eyob Endale G/Selassie
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Near Axum Building,,+251-11-5531170,Shimeles W/selassie Vetrinary Shop
,Addis Ababa City,Bole,Hayhulet Mazoria Kebele: 01,Around Women and Children Association,,+251-11-6626162,Emperor Haile Selassie I Memorial Association
,Addis Ababa City,Arada,Arat Kilo Kebele: 17,Near Wewekema,,251-11-1233528 Fax: 251-11-1233531,Ethiopian Orthodox Tewahido Church kideste Selassie Spritual College
,Ambo City,Ambo,Ambo University Kebele: 01,Inside D/r. Bethatha Building,,+251-11-2363399,Ambo Farmers Cooperative Union
,Ambo City,Ambo,Ambo Hospital Kebele: 01,Around Ambo Hospital,,251-11-2363947,Fasika Clinic
,Ambo City,Ambo,Kebron Hotel Kebele: 01,In front of Kebron Hotel,,+251-11-2363164   +251-11-2362083   +251-11-2363155 Fax: 251-11-2362237,Ambo University
,Ambo City,Ambo,Ethiopia Hotel Kebele: 01,From Menaharia 50M,,+251-11-2362002/07,Ambo Ethiopia Hotel
,Ambo City,Ambo,Zone fired bet Kebele: 01,Around Zone Fired bet,,251-11-2362244,Ambo Woodwork Saw mills Factory
,Ambo City,Ambo,Awera Godana Kebele: 01,Around kefetegen Fired Bet,,+251-11-2363939,Ambo Women Affairs Office Town
,Ambo City,Ambo,Kidane mehiret Church Kebele: 01,Around kidan Mehiret Church,,251-11-2362600,Dembel Clinic
,Ambo City,Ambo,Oilbya Gas Station Kebele: 02,Near oilbya Gas Station,,+251-91-1350007   +251-91-1220384,Abebech Metaferia Hotel
,Addis Ababa City,Nefassilk Lafto,Jemo Kebele: 01,Around Yetebaberut Gas Station,,+251-11-4713199 Fax: +251-11-4713225,Ambo Mineral Water Factory
,Addis Ababa City,Kirkos,Gotera Kebele: 10,In front of Pepsi,,+251-11-4707284   +251-11-4707324/11/15 P.O.Box 3315 Website/Email: bulala@ethionet.et,Ambo P.l.c
,Arsi Negel City,Arsi Negele,Mazegaja bet Kebele: 01,Inside Civil Service office,,+251-22-4460042,Shirka Development Association
,Arsi Negel City,Arsi Negele,Sagure Kebele: 01,Around Education Office,,+251-91-2258071,Tesfa Lads Charitable Association
,Arsi Robe City,Arsi Robe,Tele Kebele: 02,Inside Srana Serategne mahber Guday,,+251-92-1003913,New vission for Development Association
,Negele Borena City,Negele Borena,Liben Medebr Kebele: 01,In front of Tele,,+251- 91-6326962,Beoromia Kelel Guji Zon Borena Burka Jregne Bego Adragot Mahber
,Negele Borena City,Negele Borena,Kersa Wereda Kebele: 01,Around kersa wereda,,+251-92-6373837   +251-92-8808102,Village of Hope
,Assela City,Assela,Kebele 12 Kebele: -,Around Tirunesh Stadium,,+251-22-2380252,Arsi University
,Addis Ababa City,Nefassilk Lafto,Kadisco Kebele: 12/13,In front of Telcommunication,,+251-11-4404717   +251-91-1405340   +251-91-1216667   +251-91-1221151 Fax: +251-11-4404716,Arsi Agricultural Mechanization Service
,Axum City,Axum,Air lines Thicket Office Kebele: 01,To Shre Road,,251-34-7753645   251-34-7753169   251-34-7753344 Fax: 251-34-7751931,Axum University
,Axum City,Axum,Tele Kebele: 01,Next To The Big Tele,,+251-34-7750032,Hotel Delina
,Axum City,Axum,Kidus Gebrel Clinic Kebele: 04,In fornt of Kidus gebrel Clinic,,+251-34-7755306   +251-34-8750210 Fax: +251-34-7754960,Consular Hotel
,Axum City,Axum,Menahria Kebele: 02,Around Condominium Homes,,+251-91-3440123,Roman Heyduk and Families Consultancy
,Axum City,Axum,Menahria Kebele: 04,Around Hamed Sefer,,+251-91-4744081,Tsehaye Kidane General Construction
,Axum City,Axum,Menahria Kebele: 02,Around Menahariya Next To Africa Hotel,,+251-92-0435127,Rezima Hotel
,Axum City,Axum,Tabia Hayelom Kebele: -,Infront of Romhi Hotel,,+251-34-7754982   +251-34-7754817,Yared Zema International Hotel
,Axum City,Axum,Tabia Hayelom Kebele: -,In Front of Yared Zema International Hotel,,+251-34-7751501,Remhai Hotel
,Axum City,Axum,01 kebele Kebele: -,Behind Africa Hotel,,+251-34-7754871 P.O.Box 11176,Omega Health College
,Axum City,Axum,01 kebele Kebele: -,In front of Axum hawelet,,+251-34-7752377   +251-34-7752378 Fax: +251-34-7752382,Yeha Hotel (3 Star)
,Axum City,Axum,01 kebele Kebele: 01,Near Africa Hotle,,+251-34-7752676,Ark Hotel
,Axum City,Axum,01 kebele Kebele: 02,Behind Berana,,+251-91-4292798   +251-91-1201339,Mana Hotel
,Axum City,Axum,01 kebele Kebele: 01,On The Way To University Road Next To Genet Gas Station,,+251-91-3113842,Chicago Hotel
,Axum City,Axum,02 kebele Kebele: -,Infront of Atse Yohannes,,+251-34-7751320   +251-34-7751334,Sabean International Hotel
,Addis Ababa City,Bole,Axum Kebele: 03/05,Behind Plaza Hotel,,251-11-6187653,Ethiopia Enviromental
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,3rd floor,+251-11-5533828,Austria Embassy Development Cooperation
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,"2nd floor no,201, 202",+251-11-8500413/98   +251-91-1235192   +251-91-0612587 P.O.Box 101764,Admas W/Silash Abireha
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,4th Floor,+251-11-5545263,Country Trading
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,2nd Floor No. 201,+251-11-8500498   +251-91-1235192,Blue Camp Promotion P.L.C.
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,3rd Floor,+251-11-5544413,Support Africa Foundation
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,1st Floor,+251-11-5529143,Beha Construction
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,Ground,+251-11-5151314,Ethiopia Olympic Commttee
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,1st Floor,+251-91-1190553   +251-11-5577330,Grasel Trading P.L.C
,Addis Ababa City,Kirkos,Urael Kebele: 01/19,Around St.Urael Church   House No.: 999999,4th Floor,+251-11-5544412,Emerald Addis Hotels P.L.C
,Addis Ababa City,Bole,Ruwanda Kebele: 02,Near Japan Embassy   House No.: 004,,251-11-6635977   251-91-1204744 P.O.Box 2202,Axum Jewelleries
3,Addis Ababa City,Bole,Atlas Kebele: 01,Infront of Desalegne Hotel,,+251-91-1237294   +251-91-1773255   +251-92-0725654   +251-91-1448337 P.O.Box 14570 Website/Email: axumtibeb@yahoo.com    web:-www.axum-tibeb.com,Axum Tibeb
,Addis Ababa City,Kirkos,Mexico Kebele: 10,Around Wabi Shebele Hotel,,251-11-5151350 P.O.Box 40038,Axum Pharmacy
,Addis Ababa City,Akaki Kality,Kality Kebele: 01/03,Around Kadisco,,+251-91-1212049   +251-92-6709090,Axum Enjera
,Addis Ababa City,Bole,Bole Kebele: 01,Around Sheger Building,,+251-11-6183087 Fax: +251-11-2751555 Website/Email: axum@ethionet.et,Axum Green Line Trading
,Addis Ababa City,Addis Ketema,Gojam Berenda Kebele: 13/15,Around Arsho No 6,,251-11-2782780/81   251-91-1413032 Fax: 251-11-2750168 P.O.Box 17094,Axum Printing Press
,Addis Ababa City,Bole,Hayhulet Mazoria Kebele: 03/05,Around Gebriel Hospital,,251-11-6187460   251-91-1215251 P.O.Box 20667,Axum Garment Factory P.l.c
,Addis Ababa City,Kolfe Keranyo,Betel Kebele: 01/05,In front of Shoa Dabo,,+251-91-1910842   +251-11-3490286,Axum no.5 Pharmacy
,Addis Ababa City,Addis Ketema,Teklehaimanot Kebele: 01/02/03,In front of Teklehaymanot Church,,+251-91-1210893   +251-91-1675609,Axum Tsion Mariam Metal Work
,Addis Ababa City,Kirkos,Flamingo Kebele: 20/21,In front of flamingo,5th Floor,+251-11-5157711   +251-91-3016962,Axum and Its Environs Development Association
,Addis Ababa City,Bole,Bole Medhanealem Kebele: 03/05,Around Bole Scondary school,3rd Floor,+251-11-8510584   +251-93-0098827   +251-91-1705396 P.O.Box 23642/1000 Website/Email: info@desutours.com,Desu Tour and Travel Service P.L.C.
,Addis Ababa City,Kirkos,Cherkos Kebele: 01/19,Inside Kirkos Mareket Center,1st Floor 224 A,+251-11-8405140   +251-91-1635274   +251-91-1650221   +251-93-8967979,Esak Travel Association Spiritual Shop
,Gambela City,Gambela,New land Road Kebele: 02,In front of UN Office,,+251-47-5510044,Baro Gambela Hotel
,Gambela City,Gambela,baro Akobo Kebele: -,Around Regional Council,,+251-47-5510051,Central Stastics Gambela Office
,Gambela City,Gambela,Menaharia Kebele: -,In front of Adebaby,,+251-47-5510242   +251-47-5510827 Fax: +251-47-5510892,Gambella Money and Economy Dev't Office
,Gambela City,Gambela,New land Road Kebele: -,Around Old Hospital,,+251-93-2582529,Dima Ychalal Hiv Viresu Bedemachew Yemigne Mahber
,Gambela City,Gambela,Collage Kebele: -,Around Arogewu Mikire bet,,+251-47-5510404 Fax: +251-47-5510404 P.O.Box 29 Website/Email: Jinupdm@gmail.com    domachwur@yahoo.com,Gambella P/R/S/S Mine Agency
,Gambela City,Gambela,baro Akobo Kebele: -,Near Tesre musena,,+251-47-5510229 Fax: +251-47-5511377,Gambella P/H/R/S Higher Court
,Gambela City,Gambela,baro Akobo Kebele: -,Around Miker bet,,+251-47-5510229 Fax: +251-47-5511377,Gambella P/N/R/S Agricatural Rural Dev't office
,Gambela City,Gambela,baro Akobo Kebele: -,Near Fired bet,,+251-47-5510322/23   +251-47-5510340/90 Fax: +251-47-5510722 P.O.Box 269 Website/Email: nyagoag2002@yahoo.com,Gambella P/N/S Ethics and Anti Corruption
,Gambela City,Gambela,baro Akobo Kebele: -,Around Atena School,,+251-47-5510138/40   +251-47-5510215   +251-47-5510536 Fax: +251-47-5510141 P.O.Box 109 Website/Email: khorpuochbiliew@yahoo.com,Gambella P/N/S Health Office
,Gambela City,Gambela,baro Akobo Kebele: -,In front of Selam Guest House,,+251-47-5511424   +251-47-5510835   +251-47-5510971 Fax: +251-47-5510835 P.O.Box 70 Website/Email: demelashy@yahoo.com,Gambella Rural Roads Autority
,Gambela City,Gambela,baro Akobo Kebele: -,Around Miker bet,,+251-47-5510830,Gambella Custom Tax Center
,Gambela City,Gambela,baro Akobo Kebele: -,In front of Mestedader Biro,,+251-47-5511127,Gambella Union Work Agency
,Gambela City,Gambela,baro Akobo Kebele: -,In side Mikirbet gibi,,+251-47-5510003   +251-47-5512430 Fax: +251-47-5510277 P.O.Box 25 Website/Email: omotobang@gamil.com,Gambella P/N/R/ State Adminstration Office
,Gambela City,Gambela,baro Akobo Kebele: -,In front of yesetochena hesanat guday brio,,+251-47-5510337,Gambella Regional State Councle
,Gambela City,Gambela,Genina Wenz Kebele: -,Near genina Wenz,,+251-47-5511731   +251-47-5510151/55 Fax: +251-47-55101740 P.O.Box 24,Gambella P/N/S Police Commission
,Gambela City,Gambela,Genina Wenz Kebele: -,Around Gudera Wereda,,+251-91-1425085,Association for Health Society and Sustainable Environment
,Gambela City,Gambela,Baro mado Kebele: -,In side tena biro gibi,,+251-47-5511179   +251-47-5511341/42   +251-47-5510744 Fax: +251-47-5511180 P.O.Box 274 Website/Email: obang.gnel@yahoo.com,Gambella P/N/R/S HIV Aida Privantation and Control Secretariat
,Gambela City,Gambela,Baro mado Kebele: -,Inside yedero miker bet,,+251-47-5512753,Gambella Sport Office
,Gambela City,Gambela,Baro mado Kebele: 02,In Side Yediro Mikire bet,,+251-47-5510148,Gambella National Regional state Suprem Court
,Gambela City,Gambela,NOC Gas Station Kebele: -,Near Tadesech Hotel,,+251-92-1217421,Mekdella College
,Gambela City,Gambela,Ominina Kebele: -,Inside old Hospital,,+251-91-1969049,Mulu Tesfa Living With Hiv Aids Women Association
,Gambela City,Gambela,Mobile Kebele: -,Near Etango Hotel,,+251-91-7804752,Wibur Primary School
,Gambela City,Gambela,Kebele 04 Kebele: -,Around Federal Police,,+251-47-5510016,Gambella P/N/R/State Disaster Prevention and Food Security Agency
,Gambela City,Gambela,Kebele 04 Kebele: -,Behind Nile Petrolatum,,+251-47-5510686,International Rescue Community (IRC)
,Gambela City,Gambela,Adebabaye Kebele: -,Around Commercial Bank,,+251-47-5510695   +251-47-5510764   +251-47-5511916 Fax: +251-47-5510695 P.O.Box 347,Gambella P/N/R State Revenue Administration Autority
,Gambela City,Gambela,Adebabaye Kebele: -,Around Dashen Bank,,+251-47-5510133,Anbelo Postal Service
,Gambela City,Gambela,Kebele 03 Kebele: -,Around Catholic Church,,+251-47-5512400,Big Time Bar and Restaurant
,Bale Robe City,Bale Robe,Yedro Menaharia Kebele: 01,Around Menahariya,,+251-22-6650177,Robe Emmanuel Catholic Elementary School
,Bale Robe City,Bale Robe,Yedro Menaharia Kebele: 01,Around Bale Robe City,,+251-22-6653092/93/94   +251-22-8650253   251-22-6650249/48   +251-91-1063610,Maddawalabu University
,Bale Robe City,Bale Robe,Tataga Kebele: 01,Near City police Station,,+251-91-3290249,Abdi Gudina Hiv Vire Bedemachew West Ymigegne BeAids Welajochachewn Yatu Tadagiwoch Wetatoch Mahber
,Addis Ababa City,Bole,Bole Medhanealem Kebele: 01,Near to Edna Mall,3rd Floor,+251-91-1204924,Bale P.L.C
,Addis Ababa City,Kirkos,Gotera Kebele: 02/03,Near to Wngelawit Building,,+251-11-4405280/81 Fax: +251-11-4405279 P.O.Box 5375,Siltun Bale Muya co.P.l.c
,Addis Ababa City,Bole,Hayhulet Mazoria Kebele: 01,Around Down Town Lounge,,+251-91-2790802   +251-91-2626215 P.O.Box 2388/1110,Bale Mountain Lodge
,Addis Ababa City,Kirkos,Kazanchs(Menahariya) Kebele: 17/18,Behind Kazahanthis Menaharia Hotel,,251-91-1608014   251-11-1253253 Fax: 251-11-5522434 Website/Email: baleagri@ethionet.et,Bale Agricaltural Development Enterprise
,Addis Ababa City,Kirkos,Mexico Kebele: 10,Bunana Shaye/ Vonald Garage,,251-11-5539428 Fax: 251-11-5536593,Bale Tannery PLC
,Addis Ababa City,Bole,Bole Medhanealem Kebele: 01,Near to Edna Mall,2nd Floor,+251-11-6672760/64   +251-91-1678161,Bale Mawentanin Tour and Travel
,Butajira City,Butajira,Lamrot Kebele: 01,Near Mariam Church,,+251-46-1150125   +251-91-1715595,Gurage Zone Development Association
,Butajira City,Butajira,Lamrot Kebele: -,Around Floor Factory   House No.: 9999,,+251-91-1389357,Action Welfare Orgnization
,Butajira City,Butajira,Lamrot Kebele: -,Inside Butajira City Health Center,,+251-91-3372757,Hdase Hiwot People Living With Hiv Aids Charitable Association
,Butajira City,Butajira,Tele Kebele: 01,Around Tele,,+251-46-1150564,Butajera Bright Hotel
,Butajira City,Butajira,Tele Kebele: 01,Behid Tele,,+251-46-1150443,Fikadu Hotel
,Butajira City,Butajira,03 Kebele Kebele: -,Around Four Plant,,+251-46-1150803   +251-46-1151645,Rediet International Hotel
,Addis Ababa City,Addis Ketema,Sidamo Tera Kebele: 01/02/03,Inside Zway Market Center,,+251-91-1237391   +251-91-3257655,Ziway International Megazine
,Zeway City,Zeway,Tourist Hotel Kebele: 02,Around Oilbiya Gas Station,,+251-46-4414000,Ziway Tourist Hotel
,Zeway City,Zeway,Mskelegna Road Kebele: 01,Around Share Ethiopia Green House,,+251-46-4414174   +251-46-4412215,Ziway Rose P.L.C.
,Adwa City,Adwa,Soloda terara Kebele: 06,Near kidane Miheret Church,,+251-34-7711063   +251-34-7711783   +251-34-7711794,Soloda Hotel
,Adwa City,Adwa,Soloda terara Kebele: 06,Near Soloda Hotel,,+251-92-1563163,Dawit G/Egziyabher Philanthropy Center
,Adwa City,Adwa,Menhariya Kebele: 06,Next To Menahariya,,+251-34-7713161   +251-92-1589998,May Asa Hotel
Adwa Dilidiye,Addis Ababa City,Yeka,Adwa Deldiy Kebele: 01/02,Around Signal,,+251-11-8829184 Website/Email: Royalceramics2014@yahoo.com    web:-www.Royal-ceramics.com,Royal ceramics (K.A.M)P.L.C
,Addis Ababa City,Gulele,Sdist Kilo Kebele: 09/15,Behind yekatit 12 Hosopita,,+251-11-1563085   +251-11-1116330,Adwa Clinic
,Addis Ababa City,Yeka,Adwa Deldiy Kebele: 09/10,In front of Signal Cam,,251-11-6611136,Signum Vitae
,Addis Ababa City,Yeka,Adwa Deldiy Kebele: 09/10,In front of yeka Police Station,,251-11-6615033,Megebar Senaye Higher Clinic
,Addis Ababa City,Yeka,Adwa Deldiy Kebele: 01/02,Signal Sefer Around Shola Mesged,,+251-11-6620659,Self Help Africa
,Addis Ababa City,Yeka,Adwa Deldiy Kebele: 09/10,From Edna Hotel 200m,,+251-11-5530000   +251-91-2196444,ABC Massage Center
,Addis Ababa City,Yeka,Adwa Deldiy Kebele: 01/02,Behind Shola Mesjide,,+251-11-6611194,Harvest Church of God Relief and Developoment Association
,Addis Ababa City,Yeka,Adwa Deldiy Kebele: 01/02,Around Adwa Dldiy,,+251-11-8964829,Arab Contractors P.l.c
,Addis Ababa City,Yeka,Adwa Deldiy Kebele: 01/02,In front of Adwa Dldy,,+251-11-6631278,Hiwot Ethiopia
